year,district,region,season,crop,area_hectares,rainfall_mm,temperature_c,humidity_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,fertilizer_kg_ha,yield_tonnes_ha,production_tonnes
2007,Parbhani,Marathwada,Rabi,Wheat,719.18,604.04,28.78,62.52,6.48,90.49,65.53,27.06,50.0,1.171,842.18
2022,Buldhana,Vidarbha,Kharif,Onion,416.89,725.32,26.14,77.33,7.04,105.02,28.96,27.05,50.0,16.883,7038.26
2008,Pune,Western Maharashtra,Kharif,Gram,540.54,502.21,25.96,49.2,6.68,43.78,10.0,10.0,50.0,0.601,324.73
2016,Chandrapur,Vidarbha,Kharif,Jowar,1278.48,852.36,29.34,60.45,7.53,71.3,33.88,18.0,50.0,0.895,1144.16
2017,Palghar,Konkan,Rabi,Jowar,665.33,2046.57,26.04,56.51,6.78,87.48,25.41,14.9,50.0,0.819,544.83
2019,Wardha,Vidarbha,Kharif,Onion,1757.23,465.05,25.38,47.02,6.93,96.69,37.55,10.0,50.0,14.619,25688.33
2005,Aurangabad,Marathwada,Kharif,Sugarcane,247.65,618.32,28.92,61.16,7.45,164.47,59.88,32.47,50.0,43.28,10718.24
2012,Nandurbar,Khandesh,Kharif,Maize,345.49,936.12,21.98,53.75,6.78,106.92,37.83,29.21,50.0,2.627,907.45
2003,Sindhudurg,Konkan,Kharif,Wheat,1949.65,2876.14,27.11,62.65,6.47,92.11,28.8,10.0,50.0,0.628,1223.7
2012,Pune,Western Maharashtra,Rabi,Gram,3051.8,1116.38,27.14,64.96,6.49,45.17,22.01,10.0,50.0,0.39,1190.42
2021,Ahmednagar,Western Maharashtra,Kharif,Maize,851.78,627.39,27.97,74.11,7.02,96.1,41.37,24.09,50.0,2.266,1930.33
2021,Parbhani,Marathwada,Rabi,Maize,301.15,1039.22,28.06,77.29,7.0,88.04,24.07,24.76,50.0,2.023,609.15
2000,Pune,Western Maharashtra,Rabi,Onion,313.21,957.38,26.03,66.94,6.82,76.96,29.18,18.19,50.0,15.725,4925.19
2025,Jalgaon,Khandesh,Kharif,Bajra,2100.88,853.34,30.33,73.49,7.11,42.32,14.16,19.14,50.0,0.707,1484.63
2019,Sindhudurg,Konkan,Rabi,Cotton,591.77,2789.39,26.98,59.33,6.0,93.79,29.96,22.46,50.0,0.675,399.34
2009,Mumbai Suburban,Konkan,Kharif,Wheat,107.77,3159.15,25.44,49.81,6.15,80.44,45.31,23.59,50.0,0.846,91.21
2014,Washim,Vidarbha,Kharif,Onion,821.63,641.51,25.84,53.59,6.99,101.41,58.37,15.97,50.0,21.237,17449.08
2016,Wardha,Vidarbha,Kharif,Gram,985.89,1614.38,29.37,66.83,7.34,39.57,20.1,25.9,50.0,0.2,197.18
2004,Jalna,Marathwada,Rabi,Soybean,292.36,373.01,29.47,47.75,6.7,69.12,35.84,11.68,50.0,1.11,324.62
2011,Akola,Vidarbha,Kharif,Sugarcane,783.39,544.78,29.09,59.18,6.34,150.62,59.88,32.35,58.88,51.833,40605.24
2025,Gadchiroli,Vidarbha,Rabi,Wheat,526.53,964.82,23.59,60.44,6.94,73.53,19.98,10.0,50.0,1.294,681.51
2011,Amravati,Vidarbha,Rabi,Cotton,501.68,638.46,25.1,63.6,6.36,95.85,36.03,28.23,57.87,1.949,977.96
2023,Bhandara,Vidarbha,Kharif,Cotton,2349.22,1116.92,23.63,56.22,6.64,98.33,28.78,41.85,54.38,1.339,3145.43
2008,Raigad,Konkan,Kharif,Cotton,846.74,2023.15,27.26,54.57,6.54,118.23,33.3,34.97,50.0,1.002,848.29
2024,Dhule,Khandesh,Kharif,Wheat,1555.27,817.46,28.18,72.15,6.8,78.68,54.4,35.39,50.0,1.01,1571.21
2025,Amravati,Vidarbha,Kharif,Sugarcane,468.97,805.41,20.55,66.17,5.62,154.15,64.52,40.73,50.0,11.051,5182.53
2020,Kolhapur,Western Maharashtra,Kharif,Rice,660.33,1799.24,26.4,74.93,6.55,104.96,53.9,29.57,50.0,3.163,2088.52
2020,Jalna,Marathwada,Kharif,Sugarcane,1115.96,634.82,28.49,66.58,6.85,164.38,71.05,30.05,50.0,63.899,71308.78
2008,Beed,Marathwada,Kharif,Jowar,2426.17,697.1,28.82,69.48,6.81,69.97,26.97,14.21,50.0,1.76,4271.15
2010,Raigad,Konkan,Kharif,Maize,801.8,2921.75,27.27,65.58,6.89,84.11,27.71,15.03,50.0,1.216,974.69
2017,Kolhapur,Western Maharashtra,Rabi,Soybean,831.92,2099.47,26.33,54.62,7.0,62.49,18.45,10.0,50.0,0.717,596.21
2007,Ratnagiri,Konkan,Rabi,Wheat,1752.43,3208.59,27.4,67.97,5.46,74.53,23.2,25.43,50.0,0.257,450.48
2010,Gadchiroli,Vidarbha,Rabi,Jowar,1660.76,1438.76,24.84,63.59,6.85,56.63,38.06,28.13,50.0,0.756,1256.1
2021,Latur,Marathwada,Kharif,Bajra,284.75,661.29,28.69,52.58,7.15,36.37,22.96,16.32,50.0,1.122,319.46
2016,Hingoli,Marathwada,Kharif,Bajra,358.04,769.53,27.98,61.16,7.51,48.15,36.32,10.0,50.0,0.65,232.77
2006,Beed,Marathwada,Rabi,Gram,2347.45,452.87,27.5,45.58,6.98,48.4,38.19,48.71,50.0,0.654,1534.14
2003,Beed,Marathwada,Rabi,Onion,805.12,608.17,28.24,58.94,6.81,56.85,46.53,16.68,50.0,13.605,10954.01
2000,Sangli,Western Maharashtra,Rabi,Bajra,1181.28,591.15,30.47,65.74,7.34,73.63,36.3,22.37,50.0,0.834,984.85
2020,Yavatmal,Vidarbha,Rabi,Soybean,848.83,701.41,29.87,66.1,7.52,65.92,23.48,17.11,50.0,0.919,780.4
2008,Hingoli,Marathwada,Kharif,Wheat,666.27,824.3,27.01,57.49,6.92,77.24,42.3,46.26,50.0,0.944,629.07
2021,Nanded,Marathwada,Kharif,Cotton,2903.6,721.75,30.54,58.42,7.45,90.93,35.37,28.93,50.0,0.965,2802.39
2016,Kolhapur,Western Maharashtra,Rabi,Cotton,525.05,2073.28,26.54,61.2,6.86,105.45,36.84,41.55,50.0,1.027,539.23
2010,Chandrapur,Vidarbha,Rabi,Onion,419.47,1588.86,22.11,55.52,6.28,74.55,37.45,10.0,50.0,9.231,3872.08
2012,Jalgaon,Khandesh,Kharif,Maize,1052.86,523.02,23.8,57.27,6.75,83.73,19.0,10.86,50.0,2.68,2821.95
2008,Ahmednagar,Western Maharashtra,Kharif,Wheat,2523.61,453.17,28.39,59.27,6.32,75.26,48.65,32.36,50.0,1.233,3110.36
2012,Sindhudurg,Konkan,Kharif,Onion,740.86,4293.92,23.8,61.06,6.72,64.13,26.77,14.17,50.0,7.551,5594.51
2008,Amravati,Vidarbha,Kharif,Wheat,284.61,604.88,32.02,61.48,7.21,72.66,43.14,16.44,50.0,0.234,66.52
2010,Mumbai Suburban,Konkan,Rabi,Bajra,1217.15,2376.54,30.84,65.14,7.07,41.49,30.24,23.74,50.0,0.528,642.51
2004,Beed,Marathwada,Rabi,Onion,2084.63,443.7,28.19,60.71,7.02,80.4,45.71,27.42,50.0,10.174,21209.78
2017,Nashik,Western Maharashtra,Kharif,Soybean,1003.34,761.22,24.59,47.76,6.74,46.61,44.67,38.2,50.0,1.673,1679.07
2008,Kolhapur,Western Maharashtra,Kharif,Soybean,733.62,1784.74,29.33,58.01,6.85,71.46,42.96,14.63,50.0,0.639,468.57
2004,Washim,Vidarbha,Rabi,Onion,1050.88,936.69,30.69,64.07,7.23,70.65,40.23,12.8,50.0,5.438,5714.95
2019,Nashik,Western Maharashtra,Rabi,Soybean,908.59,417.67,27.25,55.84,6.89,50.1,34.77,44.04,50.0,1.412,1282.86
2003,Latur,Marathwada,Kharif,Maize,1408.11,889.5,24.03,59.5,6.59,70.52,35.53,10.0,50.0,2.695,3795.3
2025,Nagpur,Vidarbha,Kharif,Bajra,3170.93,1334.8,20.89,63.29,6.59,67.07,18.25,19.85,50.0,0.228,721.43
2013,Wardha,Vidarbha,Rabi,Jowar,729.06,791.05,26.27,59.31,6.45,68.43,39.67,23.52,50.0,1.593,1161.48
2008,Mumbai Suburban,Konkan,Kharif,Sugarcane,439.75,2862.82,28.59,68.19,7.45,187.03,66.58,67.53,57.69,31.786,13977.9
2005,Jalgaon,Khandesh,Rabi,Rice,1042.19,1055.72,28.72,63.76,7.42,118.36,52.47,36.75,50.0,2.956,3080.48
2004,Nanded,Marathwada,Kharif,Onion,1061.38,755.17,26.6,58.29,6.87,93.74,22.67,30.34,50.0,14.464,15351.6
2017,Buldhana,Vidarbha,Rabi,Rice,995.29,466.73,28.82,60.24,6.54,119.64,58.65,36.67,51.6,3.023,3009.23
2018,Solapur,Western Maharashtra,Kharif,Sugarcane,483.32,511.59,27.64,46.94,7.33,198.73,49.13,39.04,50.11,51.078,24686.83
2008,Aurangabad,Marathwada,Kharif,Rice,553.28,916.31,28.83,66.69,7.4,98.85,66.83,26.11,50.0,2.213,1224.5
2014,Bhandara,Vidarbha,Rabi,Wheat,422.21,1257.72,25.98,68.26,6.35,113.45,29.32,40.13,50.0,1.109,468.32
2016,Kolhapur,Western Maharashtra,Kharif,Sugarcane,1307.15,1713.98,25.04,64.41,6.99,182.72,50.89,44.89,69.95,65.395,85481.07
2024,Washim,Vidarbha,Kharif,Maize,485.97,566.3,23.9,61.03,7.07,78.4,10.0,10.0,50.0,2.428,1180.1
2006,Raigad,Konkan,Kharif,Jowar,594.77,2659.52,32.12,75.09,6.49,56.1,26.74,26.12,50.0,0.481,285.97
2016,Chandrapur,Vidarbha,Rabi,Sugarcane,824.52,1223.96,31.43,65.16,7.04,169.13,51.46,40.52,70.68,49.379,40714.38
2013,Nagpur,Vidarbha,Rabi,Sugarcane,596.81,1075.29,29.48,62.25,6.21,177.14,58.37,60.15,50.0,74.524,44476.83
2007,Chandrapur,Vidarbha,Kharif,Soybean,503.91,1230.25,28.23,68.6,6.42,83.17,21.27,23.94,50.0,1.136,572.21
2021,Pune,Western Maharashtra,Kharif,Jowar,1024.88,605.7,26.71,49.16,7.05,47.28,24.34,12.5,50.0,1.409,1443.77
2010,Pune,Western Maharashtra,Kharif,Soybean,936.67,792.41,30.39,62.92,6.82,78.22,43.96,10.0,50.0,1.178,1103.57
2016,Jalgaon,Khandesh,Rabi,Sugarcane,161.35,504.73,21.95,55.94,7.03,173.63,70.79,49.38,58.16,27.78,4482.3
2010,Palghar,Konkan,Kharif,Sugarcane,657.82,2796.63,24.44,81.31,6.16,191.24,43.13,23.84,76.38,29.398,19338.52
2019,Beed,Marathwada,Kharif,Sugarcane,608.2,568.76,24.08,54.79,7.49,185.93,44.33,26.31,53.72,23.849,14504.82
2017,Gadchiroli,Vidarbha,Kharif,Rice,496.96,1520.66,27.78,63.38,6.36,122.1,46.83,16.24,50.0,3.087,1534.21
2000,Nandurbar,Khandesh,Kharif,Cotton,152.01,754.15,26.52,64.81,7.1,68.2,22.38,30.35,53.33,1.769,268.95
2005,Latur,Marathwada,Kharif,Cotton,282.81,840.78,25.95,62.86,6.43,54.83,44.43,18.18,50.0,1.514,428.26
2019,Nanded,Marathwada,Rabi,Bajra,275.42,934.62,28.21,65.4,7.55,38.99,24.45,28.59,50.0,0.433,119.29
2012,Pune,Western Maharashtra,Kharif,Sugarcane,1192.38,834.37,25.52,59.57,6.9,176.21,59.57,35.94,52.68,77.053,91876.54
2016,Kolhapur,Western Maharashtra,Kharif,Gram,1059.88,2028.65,25.6,70.0,6.91,47.89,36.32,10.0,50.0,0.449,475.45
2007,Jalna,Marathwada,Kharif,Jowar,265.41,670.87,27.96,64.75,7.58,38.52,39.74,20.1,50.0,0.964,255.89
2016,Bhandara,Vidarbha,Kharif,Maize,1196.12,738.91,26.12,56.12,6.91,82.32,28.06,13.92,50.0,2.692,3220.38
2013,Gondia,Vidarbha,Kharif,Cotton,1955.02,1356.83,21.63,69.3,6.45,125.8,24.0,28.77,59.57,0.586,1145.58
2016,Nashik,Western Maharashtra,Kharif,Sugarcane,1051.53,634.72,25.3,46.91,6.85,186.75,57.73,15.62,70.68,48.616,51121.85
2000,Solapur,Western Maharashtra,Kharif,Onion,1539.79,425.93,26.82,68.44,7.08,89.6,34.62,22.98,50.0,12.29,18923.87
2014,Jalgaon,Khandesh,Rabi,Maize,552.56,618.09,25.25,63.53,6.94,120.62,17.62,22.44,50.0,2.955,1632.96
2019,Gadchiroli,Vidarbha,Kharif,Soybean,734.9,1844.23,25.0,70.36,6.86,67.54,29.19,10.0,50.0,0.724,531.72
2017,Bhandara,Vidarbha,Kharif,Onion,395.13,1246.72,23.06,72.38,6.01,70.06,59.23,33.53,50.0,8.549,3377.93
2020,Wardha,Vidarbha,Kharif,Rice,432.59,931.01,27.43,59.99,6.5,112.25,64.15,13.58,50.0,3.292,1423.97
2019,Kolhapur,Western Maharashtra,Rabi,Wheat,502.91,1280.53,26.98,51.47,6.3,84.71,40.08,35.71,50.0,0.663,333.67
2014,Dhule,Khandesh,Kharif,Onion,362.04,683.0,31.26,82.22,6.84,81.06,28.24,10.67,50.0,5.564,2014.36
2011,Akola,Vidarbha,Kharif,Sugarcane,291.35,558.67,33.68,55.36,7.03,160.57,77.06,48.43,63.21,30.038,8751.47
2015,Aurangabad,Marathwada,Rabi,Bajra,1003.03,765.71,27.71,45.18,6.86,65.32,37.13,28.31,50.0,1.132,1135.36
2015,Bhandara,Vidarbha,Kharif,Rice,1114.82,1027.21,21.93,58.4,6.39,117.78,49.37,24.68,50.0,1.483,1653.62
2010,Ahmednagar,Western Maharashtra,Rabi,Soybean,795.74,317.57,28.05,55.66,6.81,84.41,15.47,10.0,50.0,1.259,1001.53
2019,Palghar,Konkan,Rabi,Jowar,1525.4,2544.9,26.43,46.74,6.77,83.33,36.45,10.0,50.0,0.886,1350.87
2025,Yavatmal,Vidarbha,Rabi,Sugarcane,2424.36,989.74,27.13,55.53,7.15,188.68,60.88,37.64,57.21,59.39,143981.75
2013,Kolhapur,Western Maharashtra,Kharif,Soybean,951.53,1207.04,22.62,40.76,6.51,53.23,31.15,27.94,50.0,0.999,950.91
2001,Beed,Marathwada,Kharif,Bajra,1724.49,508.66,27.63,68.07,7.44,34.05,31.56,10.0,50.0,0.966,1666.47
2014,Beed,Marathwada,Rabi,Rice,1382.96,551.06,28.52,67.75,7.1,110.76,43.06,17.23,50.0,2.788,3855.89
2009,Buldhana,Vidarbha,Kharif,Maize,248.07,811.63,30.13,60.74,7.14,54.88,37.67,10.0,50.0,1.54,381.98
2022,Akola,Vidarbha,Kharif,Wheat,1786.64,367.97,26.91,50.23,6.46,86.8,40.5,12.09,50.0,1.631,2913.33
2000,Mumbai Suburban,Konkan,Rabi,Jowar,89.72,1787.04,28.07,59.35,6.64,71.53,22.2,26.12,50.0,0.818,73.41
2012,Wardha,Vidarbha,Kharif,Bajra,516.6,883.69,24.27,52.2,7.36,26.18,36.29,14.34,50.0,0.39,201.34
2009,Kolhapur,Western Maharashtra,Kharif,Rice,481.38,1119.21,24.61,49.42,6.95,99.75,71.04,29.6,50.0,2.559,1231.98
2003,Mumbai Suburban,Konkan,Rabi,Onion,961.64,1248.77,27.16,40.38,6.54,66.36,31.29,44.01,50.0,7.944,7639.51
2021,Gadchiroli,Vidarbha,Kharif,Rice,670.16,1006.98,28.0,49.0,6.4,111.21,56.64,22.31,50.0,3.011,2017.91
2014,Beed,Marathwada,Kharif,Rice,193.39,543.18,29.75,58.69,7.19,121.57,71.97,13.92,56.93,2.308,446.45
2006,Gondia,Vidarbha,Kharif,Sugarcane,436.99,1296.92,24.27,62.81,6.31,168.21,57.1,37.38,51.71,46.363,20259.88
2021,Aurangabad,Marathwada,Kharif,Maize,485.51,788.02,27.69,68.32,7.31,83.63,29.69,46.57,50.0,2.168,1052.42
2003,Wardha,Vidarbha,Kharif,Jowar,793.91,1184.64,27.29,56.82,7.42,74.39,17.35,41.33,50.0,0.756,600.47
2020,Yavatmal,Vidarbha,Kharif,Cotton,1222.28,958.81,28.05,64.04,6.72,91.95,34.3,14.0,50.0,1.492,1824.0
2010,Nagpur,Vidarbha,Kharif,Gram,379.68,1352.2,25.91,71.59,6.86,46.71,32.37,10.0,50.0,0.409,155.23
2010,Nagpur,Vidarbha,Rabi,Soybean,319.28,873.65,23.97,51.53,7.23,77.47,36.02,10.0,50.0,1.536,490.45
2006,Jalgaon,Khandesh,Rabi,Onion,981.67,708.28,29.28,58.23,6.47,70.96,29.07,10.0,50.0,10.281,10092.29
2020,Satara,Western Maharashtra,Kharif,Jowar,304.91,992.89,26.67,60.33,6.58,43.9,10.22,16.86,50.0,1.053,320.93
2010,Buldhana,Vidarbha,Kharif,Sugarcane,563.2,559.07,27.9,62.08,6.7,182.38,70.22,44.32,58.97,58.058,32697.95
2001,Akola,Vidarbha,Rabi,Maize,969.82,720.31,29.3,63.19,7.27,98.06,26.95,10.0,50.0,1.362,1320.86
2017,Ratnagiri,Konkan,Kharif,Cotton,1584.53,2815.41,25.37,72.28,5.83,78.03,37.11,34.69,50.0,0.501,794.63
2022,Washim,Vidarbha,Rabi,Soybean,924.73,716.56,27.97,68.54,7.29,70.66,26.91,20.81,50.0,1.617,1495.31
2014,Kolhapur,Western Maharashtra,Kharif,Bajra,1509.21,2223.11,25.72,84.23,6.37,59.86,17.01,10.78,50.0,0.548,826.34
2008,Gondia,Vidarbha,Rabi,Jowar,762.79,1993.6,26.37,65.17,6.16,50.86,39.37,15.63,50.0,0.643,490.55
2003,Gadchiroli,Vidarbha,Rabi,Soybean,2122.78,1364.15,27.32,65.4,6.22,80.16,27.56,13.74,50.0,0.997,2116.24
2023,Ratnagiri,Konkan,Kharif,Onion,831.63,1871.91,24.88,51.43,5.9,63.84,37.0,10.0,50.0,5.507,4579.76
2001,Aurangabad,Marathwada,Kharif,Bajra,563.01,596.6,32.17,62.64,6.55,39.96,10.0,15.21,50.0,1.011,569.39
2012,Solapur,Western Maharashtra,Kharif,Jowar,533.77,429.1,28.08,60.09,6.65,62.3,30.14,17.42,50.0,1.463,780.66
2009,Gondia,Vidarbha,Kharif,Rice,2107.75,1547.24,24.85,61.92,6.55,129.16,50.66,39.48,58.82,3.759,7923.86
2000,Latur,Marathwada,Rabi,Jowar,953.69,733.82,26.07,49.79,7.03,53.47,30.86,10.47,50.0,1.417,1351.43
2005,Beed,Marathwada,Rabi,Maize,747.67,636.6,29.07,54.29,6.85,108.74,25.77,10.0,50.0,1.918,1433.99
2005,Gadchiroli,Vidarbha,Rabi,Cotton,367.67,901.41,28.07,61.34,6.28,66.27,27.55,29.34,54.44,1.743,640.91
2012,Yavatmal,Vidarbha,Kharif,Cotton,887.37,1043.32,24.4,68.07,7.09,106.27,40.51,10.0,50.0,1.347,1195.04
2003,Ratnagiri,Konkan,Kharif,Soybean,80.38,2858.58,22.44,57.65,6.35,53.64,41.31,30.9,50.0,0.519,41.74
2005,Gondia,Vidarbha,Kharif,Wheat,4414.65,704.36,28.22,55.56,6.79,84.15,49.59,29.36,50.0,1.241,5477.32
2008,Palghar,Konkan,Kharif,Rice,553.88,2908.57,26.06,75.29,6.82,158.59,47.5,23.91,50.0,1.907,1056.34
2006,Bhandara,Vidarbha,Kharif,Maize,2233.22,1189.38,24.91,78.7,6.5,104.37,37.61,29.92,50.0,2.355,5259.02
2023,Aurangabad,Marathwada,Kharif,Bajra,1178.67,707.91,32.42,61.17,7.35,73.87,36.4,15.14,50.0,0.453,534.49
2015,Parbhani,Marathwada,Kharif,Cotton,1495.93,975.94,25.52,52.88,7.09,89.5,30.08,31.02,67.42,1.769,2646.83
2022,Aurangabad,Marathwada,Rabi,Rice,1304.1,356.17,27.09,61.71,6.86,117.35,48.08,48.02,56.75,2.595,3384.46
2019,Nashik,Western Maharashtra,Rabi,Bajra,614.26,554.44,20.69,59.29,6.91,73.14,40.71,33.84,50.0,0.514,315.93
2009,Wardha,Vidarbha,Kharif,Sugarcane,128.4,868.95,25.56,67.03,6.61,176.42,58.85,54.11,56.17,66.696,8563.95
2017,Aurangabad,Marathwada,Kharif,Rice,1320.85,637.6,26.9,68.04,6.66,112.24,61.84,22.63,50.0,3.176,4194.48
2009,Parbhani,Marathwada,Kharif,Maize,572.53,507.86,28.18,49.42,6.59,78.37,33.17,12.27,50.0,2.388,1367.1
2016,Yavatmal,Vidarbha,Rabi,Wheat,223.08,688.07,23.38,61.47,6.88,44.42,39.64,14.19,51.34,1.84,410.5
